Timestamp,Vehicle Angle,VehicleID,VehiclePos,VehiclePos,Longitude,latitude
152,155.663261,veh2,1.415941,2.416944,-6.25368,53.349715
153,157.002048,veh1,30.460672,7.429441,-6.253496,53.352462
153,155.379375,veh2,5.774174,4.358233,-6.253655,53.349679
154,157.002048,veh1,38.112156,7.651484,-6.253456,53.352398
154,155.379375,veh2,12.559693,6.785519,-6.253616,53.349622
155,157.002048,veh1,45.572111,7.459954,-6.253416,53.352335
155,153.967018,veh2,21.132592,8.5729,-6.253565,53.349552
156,150.816177,veh2,31.518161,10.385569,-6.253497,53.349468
157,77.419977,veh2,9.590012,12.281851,-6.253327,53.349465
158,80.298628,veh2,22.366829,12.776817,-6.253134,53.349483
159,80.956434,veh2,36.283847,13.917018,-6.252923,53.349499
160,91.535803,veh2,0.424142,13.720295,-6.252713,53.349491
161,101.864664,veh2,5.378375,13.794233,-6.252498,53.349467
162,103.540138,veh2,2.081964,13.92359,-6.252296,53.349435
163,110.275959,veh2,15.764063,13.682099,-6.252107,53.349389
164,92.286389,veh2,4.865005,9.760942,-6.251964,53.349375
165,89.771367,veh2,10.454922,5.589917,-6.251882,53.349373
166,89.771367,veh2,12.031468,1.576546,-6.251859,53.349372
167,89.771367,veh2,13.027011,0.995543,-6.251844,53.349372
168,89.48139,veh2,1.367379,2.440368,-6.25181,53.349372
169,77.858321,veh2,0.394561,3.817181,-6.25176,53.349379
170,71.331906,veh2,6.225377,5.830816,-6.251681,53.349393
171,46.173414,veh2,8.085341,8.419965,-6.251583,53.34943
172,38.383904,veh2,9.246966,10.601624,-6.251478,53.349504
173,38.383904,veh2,21.290278,12.043313,-6.251356,53.349589
174,38.383904,veh2,30.363611,9.073332,-6.251264,53.349653
175,38.383904,veh2,36.267182,5.903571,-6.251205,53.349695
176,21.740779,veh2,5.341875,7.864693,-6.251153,53.349759
177,5.595389,veh2,15.589982,10.248107,-6.251118,53.349848
178,312.759417,veh2,24.655304,9.065322,-6.251187,53.349914
179,293.114208,veh2,5.40866,7.613356,-6.251288,53.349945
180,292.536054,veh2,6.645573,7.476913,-6.25139,53.349973
181,292.536054,veh2,13.932901,7.287328,-6.25149,53.350001
182,292.536054,veh2,21.76467,7.831769,-6.251596,53.35003
183,292.536054,veh2,29.30501,7.54034,-6.251699,53.350059
184,292.536054,veh2,36.851883,7.546873,-6.251802,53.350087
185,292.536054,veh2,42.359463,5.50758,-6.251877,53.350108
186,14.575549,veh2,6.083349,7.893886,-6.251885,53.350167
187,22.806495,veh2,13.560829,7.47748,-6.25184,53.350228
188,23.823404,veh2,6.963817,7.782988,-6.251788,53.350291
189,20.159657,veh2,14.529793,7.565976,-6.251744,53.350353
190,20.159657,veh2,17.610246,3.080453,-6.251727,53.350379
191,43.796855,veh2,0.174524,2.834277,-6.251692,53.350388
192,116.994821,veh2,0.356307,2.521784,-6.251682,53.350368
193,200.177181,veh2,5.456325,5.100017,-6.251712,53.350325
194,201.514199,veh2,11.919284,6.462959,-6.25175,53.350272
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,163.45156,veh6,5.1,0,-6.260076,53.349756
299,163.45156,veh6,6.814695,1.714695,-6.26007,53.349741
300,163.45156,veh6,10.721919,3.907224,-6.260055,53.349707
301,163.45156,veh6,16.080052,5.358133,-6.260035,53.349661
302,163.45156,veh6,22.855229,6.775177,-6.26001,53.349602
303,163.45156,veh6,31.845238,8.990009,-6.259977,53.349523
304,163.45156,veh6,40.787445,8.942207,-6.259944,53.349446
305,163.45156,veh6,48.644656,7.857211,-6.259914,53.349377
306,163.45156,veh6,56.717725,8.073069,-6.259884,53.349307
307,163.45156,veh6,65.333189,8.615464,-6.259852,53.349232
308,163.45156,veh6,73.499447,8.166258,-6.259822,53.349161
309,163.45156,veh6,81.382168,7.882721,-6.259792,53.349092
310,163.436277,veh6,2.390163,8.707995,-6.25976,53.349016
311,163.41703,veh6,5.669641,8.369479,-6.259729,53.348944
312,162.904776,veh6,6.03747,8.377829,-6.259697,53.348871
313,162.562163,veh6,3.465402,8.687932,-6.259663,53.348796
314,162.410968,veh6,11.261566,7.796165,-6.259632,53.348728
315,162.410968,veh6,20.19893,8.937363,-6.259596,53.348651
316,162.693269,veh6,28.96633,8.7674,-6.259562,53.348575
317,152.048899,veh6,5.376651,8.630321,-6.259514,53.348503
318,103.241723,veh6,13.787673,8.411022,-6.259404,53.348471
319,75.216354,veh6,2.707669,8.599997,-6.259277,53.348485
320,71.911884,veh6,10.59168,7.88401,-6.259163,53.348505
321,71.911884,veh6,18.785647,8.193968,-6.259045,53.348525
322,71.544419,veh6,5.639993,8.374346,-6.258927,53.348545
323,71.544419,veh6,13.423901,7.783908,-6.258815,53.348565
324,71.544419,veh6,22.076526,8.652626,-6.25869,53.348587
325,72.413608,veh6,3.969344,8.242818,-6.258571,53.348607
326,73.608615,veh6,7.880446,8.971102,-6.25844,53.348627
327,73.608615,veh6,16.132123,8.251677,-6.25832,53.348645
328,73.608615,veh6,25.094046,8.961923,-6.25819,53.348665
329,73.608615,veh6,33.146429,8.052384,-6.258073,53.348682
330,73.608615,veh6,41.843297,8.696868,-6.257946,53.348702
331,73.608615,veh6,50.042291,8.198994,-6.257827,53.34872
332,73.579362,veh6,1.29199,3.839699,-6.257771,53.348728
333,73.560173,veh6,2.140486,0.848496,-6.257758,53.34873
334,73.554569,veh6,2.388425,0.247939,-6.257755,53.34873
335,73.550505,veh6,2.568318,0.179893,-6.257752,53.348731
336,73.55049,veh6,2.568947,0.000629,-6.257752,53.348731
337,73.55049,veh6,2.568947,0,-6.257752,53.348731
338,73.55049,veh6,2.568947,0,-6.257752,53.348731
339,73.55049,veh6,2.568947,0,-6.257752,53.348731
340,73.55049,veh6,2.568947,0,-6.257752,53.348731
341,73.55049,veh6,2.568947,0,-6.257752,53.348731
342,73.55049,veh6,2.568947,0,-6.257752,53.348731
343,73.55049,veh6,2.568947,0,-6.257752,53.348731
344,73.55049,veh6,2.568947,0,-6.257752,53.348731
345,73.55049,veh6,2.568947,0,-6.257752,53.348731
346,73.55049,veh6,2.568947,0,-6.257752,53.348731
347,73.55049,veh6,2.568947,0,-6.257752,53.348731
348,73.55049,veh6,2.568947,0,-6.257752,53.348731
348,163.45156,veh7,5.1,0,-6.260076,53.349756
349,73.55049,veh6,2.568947,0,-6.257752,53.348731
349,163.45156,veh7,7.573582,2.473582,-6.260067,53.349735
350,73.515243,veh6,1.377711,2.378765,-6.257718,53.348736
350,163.45156,veh7,12.489038,4.915456,-6.260049,53.349692
351,73.31155,veh6,6.196933,4.819222,-6.257647,53.348747
351,163.45156,veh7,19.782642,7.293604,-6.260022,53.349628
352,73.31155,veh6,13.190664,6.993731,-6.257546,53.348763
352,163.45156,veh7,28.169272,8.38663,-6.259991,53.349555
353,72.995593,veh6,5.754346,7.813682,-6.257432,53.348781
353,163.45156,veh7,35.859185,7.689913,-6.259962,53.349488
354,72.995593,veh6,13.628823,7.874476,-6.257318,53.348799
354,163.45156,veh7,43.679329,7.820145,-6.259933,53.34942
355,74.896031,veh6,7.384437,8.575615,-6.257193,53.348816
355,163.45156,veh7,51.75289,8.073561,-6.259903,53.34935
356,74.896031,veh6,15.585409,8.200971,-6.257073,53.348833
356,163.45156,veh7,59.051249,7.298359,-6.259876,53.349287
357,74.896031,veh6,23.471168,7.885759,-6.256957,53.348848
357,163.45156,veh7,66.676469,7.62522,-6.259847,53.34922
358,74.369149,veh6,31.611985,8.140817,-6.256838,53.348865
358,163.45156,veh7,74.922447,8.245977,-6.259817,53.349148
359,72.32226,veh6,39.696386,8.084401,-6.256721,53.348885
359,163.45156,veh7,82.34686,7.424413,-6.259789,53.349084
360,72.32226,veh6,47.672378,7.975992,-6.256606,53.348904
360,163.436232,veh7,2.397058,7.750198,-6.25976,53.349016
361,72.32226,veh6,56.331105,8.658727,-6.25648,53.348924
361,163.41703,veh7,5.879102,8.572044,-6.259728,53.348942
362,72.32226,veh6,64.428004,8.096898,-6.256363,53.348944
362,162.904776,veh7,6.335853,8.46675,-6.259696,53.348868
